Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,Grid_Score,Max_Divergence_Score,Y3_Beat_VOO_Score,Y3_Premium_Score,Y3_Premium_50p_Score,Y3_Premium_100p_Score,Y3_Premium_Wins,Y3_Premium_Total,Y3_Confidence,Beat_Score,Beat_Score_50p,Beat_Score_100p
11,PWR,Construction & Engineering,936.5,80.7,-4.0,-5.0,-2.1,-3.0,11.5,28.7,91.3,191.6,477.3,936.5,1124.7,-22.8,1.1,754.8,162.1,1081.6,18.0,18.0,18.0,18.0,0.0,0.0,11.0,11.0,-7,17.69999999999999,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,18.0,18.0,18.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.0,11.0,11.0,100286697811.83,100.287,120.0,large,equity,data_raw,000111111,001111111,162.5,150.0,155.6,155.6,155.6,133.3,7.0,9.0,1.0,468.1,468.1,445.8
12,AVGO,Semiconductors,1037.9,70.7,-2.0,-3.4,-11.1,-9.7,-5.5,-3.4,83.9,252.3,483.7,1037.9,1473.1,-16.4,1.2,1362.2,340.9,1182.9,13.0,13.0,14.0,14.0,0.0,0.0,12.0,12.0,-3,22.099999999999966,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,13.0,13.0,14.0,14.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,12.0,1714869840445.03,1714.87,8.0,cap10,equity,data_raw,000001111,111111111,162.4,150.0,200.0,155.6,155.6,111.1,7.0,9.0,1.0,468.0,468.0,423.5
13,TRX-USD,Cryptocurrency,760.3,11.6,-0.2,-2.6,-1.4,-4.9,-0.8,-5.1,61.4,143.6,442.7,760.3,6637.4,-26.9,1.2,6631.6,4543.1,871.0,28.0,28.0,27.0,27.0,0.0,0.0,13.0,13.0,-2,116.80000000000018,STRONG_DOWN,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,28.0,28.0,27.0,27.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.0,13.0,30519902149.15,30.52,,crypto,crypto,data_raw,000001111,--0111111,146.1,150.0,171.4,171.4,171.4,171.4,6.0,7.0,1.0,467.5,467.5,467.5
14,FIX,Engineering & Construction,2604.4,82.6,-6.6,-8.3,-3.7,-2.3,18.0,64.6,338.6,839.1,1591.7,2604.4,3110.6,-40.0,1.1,1760.9,269.2,2749.4,3.0,3.0,3.0,3.0,0.0,0.0,14.0,14.0,-9,47.099999999999994,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,14.0,14.0,61265843455.07,61.266,207.0,large,equity,data_raw,000111111,100111111,162.5,190.0,155.6,111.1,111.1,111.1,5.0,9.0,1.0,463.6,463.6,463.6
15,PANW,Cybersecurity Software,490.9,98.5,-1.5,12.2,8.3,52.0,71.7,68.0,72.8,129.5,261.5,490.9,499.4,-34.6,1.2,215.5,50.9,636.0,44.0,44.0,46.0,46.0,0.0,0.0,15.0,15.0,-1,1.8999999999999986,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,44.0,44.0,46.0,46.0,0.0,0.0,,0.0,0.0,0.0,0.0,15.0,15.0,283668898010.25,283.669,46.0,cap100,equity,data_raw,111111111,111111111,218.0,110.0,200.0,133.3,133.3,88.9,6.0,9.0,1.0,461.3,461.3,416.9
16,VRT,Electrical Equipment & Parts,1347.8,76.5,-2.1,-3.3,-4.3,-4.6,17.3,48.8,237.0,842.9,1167.4,1347.8,1741.3,-60.9,1.2,1052.9,221.5,1447.6,11.0,11.0,11.0,11.0,0.0,0.0,16.0,16.0,-1,14.5,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,11.0,11.0,11.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,16.0,16.0,115436222003.6,115.436,109.0,large,equity,data_raw,000111111,---101111,165.0,150.0,166.7,133.3,133.3,133.3,4.0,6.0,1.0,448.3,448.3,448.3
17,DELL,Computer Hardware & Services,985.1,81.6,-2.4,-3.5,-10.4,45.6,111.7,143.6,239.2,434.1,656.7,985.1,1206.8,-23.7,1.7,357.2,75.9,1118.2,17.0,17.0,16.0,16.0,0.0,0.0,17.0,17.0,0,5.1000000000000085,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,17.0,17.0,16.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,17.0,17.0,128172414364.47,128.172,98.0,cap100,equity,data_raw,001111111,-01111111,182.3,150.0,175.0,100.0,100.0,75.0,4.0,8.0,1.0,432.3,432.3,407.3
18,JBL,Electronic Manufacturing Services,597.9,84.4,-7.3,-7.0,-6.2,-1.1,13.2,27.7,88.5,190.1,345.5,597.9,662.0,-28.8,1.1,417.7,74.0,743.0,35.0,35.0,36.0,36.0,0.0,0.0,18.0,18.0,0,13.600000000000001,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,35.0,35.0,36.0,36.0,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,18.0,35763832196.56,35.764,297.0,large,equity,data_raw,000111111,111111111,184.7,110.0,200.0,133.3,133.3,88.9,6.0,9.0,1.0,428.0,428.0,383.6
19,MPWR,Semiconductors,469.6,67.9,-3.3,-4.1,-8.9,-9.6,0.8,16.8,44.8,71.7,156.8,469.6,693.2,-5.3,1.3,509.6,139.9,614.7,48.0,48.0,51.0,51.0,0.0,0.0,19.0,19.0,7,13.400000000000006,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,48.0,48.0,51.0,51.0,0.0,0.0,,0.0,0.0,0.0,0.0,19.0,19.0,63287302479.25,63.287,201.0,large,equity,data_raw,000111111,111111111,184.7,110.0,200.0,133.3,133.3,88.9,6.0,9.0,1.0,428.0,428.0,383.6
20,URI,Equipment Rental,358.9,93.2,-4.9,-4.2,5.4,15.0,20.4,17.0,27.6,74.7,179.8,358.9,387.6,-36.0,1.3,277.1,66.3,504.0,60.0,60.0,61.0,61.0,0.0,0.0,20.0,20.0,0,7.799999999999997,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,60.0,60.0,61.0,61.0,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,20.0,68822878913.39,68.823,187.0,large,equity,data_raw,011111111,100111111,184.7,110.0,155.6,133.3,133.3,88.9,6.0,9.0,1.0,428.0,428.0,383.6
21,RKLB,Aerospace & Defense,1085.0,62.9,10.0,16.7,-7.8,12.0,19.6,60.7,903.6,1131.4,,1085.0,1719.1,-77.2,1.3,990.0,163.9,1149.1,15.0,15.0,13.0,13.0,0.0,0.0,21.0,21.0,12,-56.19999999999999,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL,,,,,15.0,15.0,13.0,13.0,0.0,0.0,,0.0,0.0,0.0,0.0,21.0,21.0,58153026008.53,58.153,214.0,large,equity,data_raw,1011111-1,-----0111,174.5,150.0,150.0,100.0,100.0,100.0,3.0,4.0,0.667,424.5,424.5,424.5
22,AMAT,Semiconductor Equipment & Materials,780.6,79.2,-13.4,-6.0,13.1,33.7,56.2,117.0,178.5,244.0,386.3,780.6,991.0,-21.2,1.5,323.6,62.0,925.7,23.0,23.0,24.0,24.0,0.0,0.0,22.0,22.0,-1,18.9,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,23.0,23.0,24.0,24.0,0.0,0.0,,0.0,0.0,0.0,0.0,22.0,22.0,478789277221.8,478.789,23.0,cap100,equity,data_raw,011111111,011111011,184.7,150.0,155.6,88.9,88.9,66.7,4.0,9.0,1.0,423.6,423.6,401.4
23,APP,Software,910.4,59.3,5.2,8.3,-9.4,3.6,0.0,-3.2,400.6,924.2,,910.4,1542.2,-55.4,1.4,1548.1,463.0,969.9,21.0,21.0,19.0,19.0,0.0,0.0,23.0,23.0,11,-79.29999999999995,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,21.0,21.0,19.0,19.0,0.0,0.0,,0.0,0.0,0.0,0.0,23.0,23.0,161139107173.58,161.139,81.0,cap100,equity,data_raw,1010011-1,------111,173.5,150.0,200.0,100.0,100.0,100.0,3.0,3.0,0.5,423.5,423.5,423.5
24,HOOD,Capital Markets,474.8,59.3,7.6,12.1,14.9,31.6,23.2,5.1,319.2,474.8,,474.8,820.7,-60.3,1.4,728.8,188.2,532.3,56.0,56.0,50.0,50.0,0.0,0.0,24.0,24.0,19,-49.70000000000002,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,56.0,56.0,50.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,24.0,24.0,89190253661.49,89.19,137.0,large,equity,data_raw,1111111-1,------111,211.0,110.0,200.0,100.0,100.0,100.0,3.0,3.0,0.5,421.0,421.0,421.0
25,MU,Semiconductors,2067.8,78.1,-14.7,-16.0,-4.7,54.6,100.9,304.2,734.6,980.1,1179.4,2067.8,2654.8,-25.2,1.4,688.2,61.4,2212.8,6.0,6.0,6.0,6.0,0.0,0.0,25.0,25.0,-6,21.4,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,6.0,6.0,6.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,25.0,25.0,1101790779632.25,1101.791,12.0,cap100,equity,data_raw,001111111,111100011,162.5,190.0,133.3,66.7,66.7,44.4,3.0,9.0,1.0,419.2,419.2,396.9
26,CAT,Construction Machinery,553.0,86.4,-6.2,-5.6,5.2,8.4,21.8,54.4,125.1,204.9,308.6,553.0,640.0,-5.5,1.2,308.8,50.5,698.0,39.0,39.0,39.0,39.0,0.0,0.0,26.0,26.0,-3,8.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,39.0,39.0,39.0,39.0,0.0,0.0,,0.0,0.0,0.0,0.0,26.0,26.0,443794206873.9,443.794,27.0,cap100,equity,data_raw,011111111,110111111,195.8,110.0,177.8,111.1,111.1,44.4,5.0,9.0,1.0,416.9,416.9,350.2
27,SMH,Unknown,600.3,84.1,-5.3,-5.3,-2.6,11.2,25.2,48.2,112.5,188.4,287.5,600.3,714.6,-5.3,1.2,371.9,72.6,745.3,34.0,34.0,35.0,35.0,0.0,0.0,27.0,27.0,-3,9.999999999999993,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,34.0,34.0,35.0,35.0,0.0,0.0,,0.0,0.0,0.0,0.0,27.0,27.0,,,,,,,001111111,111111111,195.8,110.0,200.0,111.1,111.1,66.7,5.0,9.0,1.0,416.9,416.9,372.5
28,WSM,Specialty Retail,376.0,91.0,-8.8,-7.1,7.1,12.8,11.6,11.7,46.4,100.9,191.5,376.0,417.3,-40.6,1.2,328.1,78.7,521.1,57.0,57.0,57.0,57.0,0.0,0.0,28.0,28.0,-3,16.0,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,57.0,57.0,57.0,57.0,0.0,0.0,,0.0,0.0,0.0,0.0,28.0,28.0,26790886257.1,26.791,357.0,other,equity,data_raw,011111111,011111111,195.8,110.0,177.8,111.1,111.1,88.9,5.0,9.0,1.0,416.9,416.9,394.7
29,QUBT,Quantum Computing,777.2,9.8,-0.3,-3.6,-14.5,-2.9,-6.2,-29.3,423.9,331.8,236.7,777.2,9187.6,-139.9,1.6,12634.2,7642.7,922.3,24.0,24.0,25.0,25.0,0.0,0.0,29.0,29.0,-2,371.89999999999964,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,24.0,24.0,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,29.0,29.0,2041091675.37,2.041,542.0,other,equity,data_raw,000001111,111000111,129.1,150.0,133.3,133.3,133.3,133.3,6.0,9.0,1.0,412.4,412.4,412.4
30,QBTS,Quantum Computing,731.7,41.5,-1.3,-3.2,-12.5,8.1,2.7,1.4,875.9,814.6,,731.7,1840.5,-110.7,1.5,1704.8,420.5,794.9,32.0,32.0,30.0,30.0,0.0,0.0,30.0,30.0,2,32.0,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,32.0,32.0,30.0,30.0,0.0,0.0,,0.0,0.0,0.0,0.0,30.0,30.0,8274572489.4,8.275,521.0,other,equity,data_raw,0011111-1,-----0111,162.0,150.0,150.0,100.0,100.0,100.0,3.0,4.0,0.667,412.0,412.0,412.0
31,TT,Building Products,243.4,83.1,-2.3,-2.1,3.9,0.5,2.7,0.5,15.3,55.1,101.9,243.4,294.6,-7.0,1.2,273.2,74.5,388.5,72.0,72.0,75.0,75.0,0.0,0.0,31.0,31.0,-3,4.599999999999994,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,72.0,72.0,75.0,75.0,0.0,0.0,,0.0,0.0,0.0,0.0,31.0,31.0,105693256297.38,105.693,115.0,large,equity,data_raw,011111111,111111111,206.9,70.0,200.0,133.3,133.3,66.7,6.0,9.0,1.0,410.2,410.2,343.6
32,STX,Data Storage,1587.6,72.1,-8.8,-11.0,-9.7,17.5,63.5,176.9,611.9,795.7,1017.3,1587.6,2215.0,-36.7,1.2,734.7,68.1,1732.7,9.0,9.0,9.0,9.0,0.0,0.0,32.0,32.0,-3,17.099999999999994,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,9.0,9.0,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,32.0,32.0,185562929382.45,185.563,66.0,cap100,equity,data_raw,001111111,100101011,151.39999999999998,190.0,111.1,66.7,66.7,66.7,3.0,9.0,1.0,408.1,408.1,408.1
33,ASML,Semi-Conductors,463.2,83.7,-7.3,-3.6,3.3,10.9,18.5,51.3,75.4,86.5,149.4,463.2,553.1,-5.8,1.6,274.9,56.2,608.2,49.0,49.0,52.0,52.0,0.0,0.0,33.0,33.0,3,10.0,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,49.0,49.0,52.0,52.0,0.0,0.0,,0.0,0.0,0.0,0.0,33.0,33.0,681927162336.66,681.927,18.0,cap100,equity,data_raw,011111111,111110011,184.7,110.0,155.6,111.1,111.1,66.7,5.0,9.0,1.0,405.8,405.8,361.4
34,TSM,Semiconductors,592.6,87.1,-3.5,-1.8,-0.4,4.6,12.0,31.8,128.6,195.7,279.6,592.6,680.9,-6.0,1.1,414.2,74.0,737.7,36.0,36.0,37.0,37.0,0.0,0.0,34.0,34.0,-4,7.200000000000003,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,36.0,36.0,37.0,37.0,0.0,0.0,,0.0,0.0,0.0,0.0,34.0,34.0,2251759576477.52,2251.76,5.0,cap10,equity,data_raw,001111111,111110111,184.7,110.0,177.8,111.1,111.1,88.9,5.0,9.0,1.0,405.8,405.8,383.6
35,TSLA,Automobile Manufacturers,742.3,50.0,1.5,1.4,-5.5,-6.0,-10.4,-9.2,5.8,-7.3,189.2,742.3,1535.1,-50.2,1.2,1546.9,644.1,887.4,27.0,27.0,29.0,29.0,0.0,0.0,35.0,35.0,10,-32.39999999999998,EARLY_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,27.0,27.0,29.0,29.0,0.0,0.0,,0.0,0.0,0.0,0.0,35.0,35.0,1477689602891.19,1477.69,9.0,cap10,equity,data_raw,100001011,111110011,140.2,150.0,155.6,111.1,111.1,111.1,5.0,9.0,1.0,401.3,401.3,401.3
36,AAPL,Consumer Electronics,256.1,97.1,12.0,6.6,3.7,5.3,6.5,10.4,7.3,11.0,50.5,256.1,264.2,-12.6,1.2,205.1,47.6,401.2,71.0,71.0,73.0,73.0,0.0,0.0,36.0,36.0,50,-17.4,STRONG_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,71.0,71.0,73.0,73.0,0.0,0.0,,0.0,0.0,0.0,0.0,36.0,36.0,4532958753995.61,4532.959,2.0,cap10,equity,data_raw,111111111,111111111,218.0,70.0,200.0,111.1,111.1,44.4,5.0,9.0,1.0,399.1,399.1,332.4
37,SNDK,Data Storage Devices,2030.1,69.4,-19.8,-18.7,-6.6,42.1,165.0,1155.9,,,,2030.1,2887.5,-4.5,1.5,820.7,65.6,2045.4,7.0,7.0,7.0,7.0,0.0,0.0,37.0,37.0,-6,29.599999999999994,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,7.0,7.0,7.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,37.0,37.0,258416627710.0,258.417,51.0,cap100,equity,data_raw,00111---1,--------1,173.7,190.0,200.0,33.3,33.3,33.3,1.0,1.0,0.167,397.0,397.0,397.0
38,^IRX,Government Bonds,2690.9,48.0,-0.4,-2.0,1.2,-2.6,-3.9,-12.1,-51.2,1105.3,3896.0,2690.9,5789.1,-166.0,1.2,6432.7,3835.3,2835.9,2.0,2.0,2.0,2.0,0.0,0.0,38.0,38.0,-3,35.30000000000018,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,38.0,38.0,,,,,,,010000111,110011100,118.0,190.0,111.1,88.9,88.9,88.9,4.0,9.0,1.0,396.9,396.9,396.9
39,TPL,Homebuilding,453.0,49.5,1.1,0.7,5.3,-4.9,-1.1,6.4,17.3,33.9,128.0,453.0,919.6,-5.5,1.4,918.9,452.5,598.1,51.0,51.0,53.0,53.0,0.0,0.0,39.0,39.0,-1,-16.899999999999977,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,51.0,51.0,53.0,53.0,0.0,0.0,,0.0,0.0,0.0,0.0,39.0,39.0,28086388330.77,28.086,339.0,other,equity,data_raw,110011111,110111101,173.6,110.0,155.6,111.1,111.1,66.7,5.0,9.0,1.0,394.7,394.7,350.3
40,000660.KS,Memory,2563.5,72.8,-18.4,-20.4,-10.1,44.1,90.7,294.4,916.4,1376.7,1645.4,2563.5,3531.1,-22.7,1.2,1004.0,93.5,2708.6,4.0,4.0,4.0,4.0,0.0,0.0,40.0,40.0,-18,39.2,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,4.0,4.0,4.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.0,40.0,1552452646617000.0,1552452.647,,etf,etf,data_raw,001111111,101-00111,157.3,190.0,111.1,44.4,44.4,44.4,2.0,9.0,1.0,391.7,391.7,391.7
41,ASTS,Satellite Communications,788.5,60.5,9.8,17.0,-9.3,-3.6,-5.5,16.5,777.3,857.1,,788.5,1328.4,-128.2,1.3,985.2,190.9,869.0,29.0,29.0,23.0,23.0,0.0,0.0,41.0,41.0,37,-66.70000000000002,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,29.0,29.0,23.0,23.0,0.0,0.0,,0.0,0.0,0.0,0.0,41.0,41.0,25432278764.26,25.432,369.0,other,equity,data_raw,1000111-1,----00111,135.5,150.0,120.0,100.0,100.0,100.0,3.0,5.0,0.833,385.5,385.5,385.5
